类别,名称,规格/参数要求,用途,必需/可选,备注
5. AI 调色能力,印花换色,把现有印花的某主色替换为指定色,色卡映射 / 季节换装,必需,
6. 用户/账号系统,登录方式,手机号+短信验证码、微信小程序一键登录、微信扫码（Web）,登录/注册,必需,需短信服务商账号（阿里云/腾讯云）
6. 用户/账号系统,新用户每日免费生图次数,默认 3-5 次/天，可后台配置；超出后引导付费,新用户拉新,必需,
6. 用户/账号系统,用户档案,昵称/头像/手机号/会员等级/积分/收藏/历史,我的中心,必需,
6. 用户/账号系统,设计草稿/历史,自动保存设计；可回溯版本,继续编辑,必需,
6. 用户/账号系统,分享拉新,生成分享卡片图（Web）；微信小程序 onShareAppMessage 接入,小程序分享好友/群,必需,需提供分享卡背景模板
7. 订单/支付,订单生成,字段：设计 ID / 袜型 / 工艺 / 尺码分布 / 数量 / 单价 / 总价 / 收货地址 / 备注,下单流程,必需,
7. 订单/支付,微信支付,商户号 + APIv3 密钥 + 证书；JSAPI/Native/小程序支付,在线支付,必需,
7. 订单/支付,支付宝支付,APPID + 应用私钥 + 公钥,在线支付,必需,
7. 订单/支付,银行卡支付（可选）,通过聚合支付（连连/通联）接入,在线支付,可选,
7. 订单/支付,物流跟踪,推荐：菜鸟/快递鸟接口；可查询顺丰/京东/中通/圆通,订单状态实时同步,必需,
7. 订单/支付,发票,普票/专票（电子）；接入开票平台（百望/航信/诺诺）,B 端订单需要,推荐,
8. 内容运营,首页主题专题,本项目当前默认敦煌主题，含 banner 文案/插图/产品图,首页展示,必需,3-5 个常驻主题
8. 内容运营,推荐流内容,精选作品/教程/活动；标题/封面/跳转链接,推荐 tab,必需,
8. 内容运营,资讯文章,标题/封面/正文/发布时间;支持 Markdown,资讯中心,必需,
8. 内容运营,Banner / 营销图,首页 hero / banner / 弹窗；尺寸规范见附,运营位,必需,
8. 内容运营,常见问题,FAQ；分类 + 富文本,帮助中心,推荐,
9. 品牌/法务,Logo 资产,SVG + PNG（多尺寸：512/256/128/64/32），透明底 + 实底两版,App icon / 网站 favicon / 分享卡,必需,
9. 品牌/法务,字体授权,ZCOOL KuaiLe（项目已用）+ 思源黑体；商用授权证明,品牌字体,必需,Google Fonts 上的免费授权要核对协议
9. 品牌/法务,品牌主视觉,Brand Guideline；主视觉色 / 辅助色 / 字体规范,全站设计基线,必需,
9. 品牌/法务,用户协议,法务审核版本,注册/登录前 Checkbox,必需,
9. 品牌/法务,隐私政策,法务审核版本；含数据收集范围/三方 SDK 列表,合规,必需,
9. 品牌/法务,内容审核策略,UGC 审核 SOP（人工 + AI）,合规,必需,
10. 基础设施/部署,域名,主域名 + 备用域名（含 ICP 备案）,网站访问,必需,
10. 基础设施/部署,HTTPS 证书,Let's Encrypt 或商业证书,加密访问,必需,
10. 基础设施/部署,服务器,API 服务器（≥4C8G）+ 数据库（≥2C4G）,后端运行,必需,推荐云厂：阿里云/腾讯云
10. 基础设施/部署,数据库,MySQL 8 / PostgreSQL 14；自动备份,持久化,必需,
10. 基础设施/部署,对象存储 + CDN,OSS（阿里）/ COS（腾讯）+ CDN 加速，按需带宽,图片/设计稿存储,必需,
10. 基础设施/部署,监控/日志,Sentry + 阿里云 SLS / Cloudwatch,线上排错,推荐,
10. 基础设施/部署,小程序账号,微信公众平台小程序 APPID（已认证）,小程序上架,必需,
10. 基础设施/部署,ICP 备案 / 增值电信业务许可证,涉及在线交易需要 ICP+ 增电许可,合规上线,必需,
10. 基础设施/部署,管理后台,运营后台地址（用户管理/订单/素材审核/主题运营）,日常运营,必需,可后期追加
